"Total transport performance in the Netherlands; modes of travel and regions"
"Population: Population 6 years or older"
"Margins: Value"
""
"Topic";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance"
"Modes of travel";"Total";"Total";"Total";"Total";"Total";"Total";"Passenger car (driver)";"Passenger car (driver)";"Passenger car (driver)";"Passenger car (driver)";"Passenger car (driver)";"Passenger car (driver)";"Passenger car (passenger)";"Passenger car (passenger)";"Passenger car (passenger)";"Passenger car (passenger)";"Passenger car (passenger)";"Passenger car (passenger)";"Train";"Train";"Train";"Train";"Train";"Train";"Bus/tram/metro";"Bus/tram/metro";"Bus/tram/metro";"Bus/tram/metro";"Bus/tram/metro";"Bus/tram/metro";"Bike";"Bike";"Bike";"Bike";"Bike";"Bike";"Walking";"Walking";"Walking";"Walking";"Walking";"Walking";"Other";"Other";"Other";"Other";"Other";"Other"
"Periods";"2018";"2019";"2020";"2021";"2022";"2023";"2018";"2019";"2020";"2021";"2022";"2023";"2018";"2019";"2020";"2021";"2022";"2023";"2018";"2019";"2020";"2021";"2022";"2023";"2018";"2019";"2020";"2021";"2022";"2023";"2018";"2019";"2020";"2021";"2022";"2023";"2018";"2019";"2020";"2021";"2022";"2023";"2018";"2019";"2020";"2021";"2022";"2023"
"Region characteristics";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres "
"The Netherlands";"218.1";"218.8";"152.0";"168.4";"186.9";"199.3";"108.8";"108.5";"79.4";"85.6";"92.9";"99.6";"38.7";"39.0";"25.8";"30.2";"32.7";"36.5";"22.8";"24.1";"9.6";"10.2";"15.8";"20.0";"6.5";"6.5";"2.9";"3.5";"5.0";"5.1";"18.5";"17.8";"15.5";"16.1";"18.4";"17.8";"5.2";"5.2";"6.6";"8.2";"7.2";"6.9";"17.6";"17.9";"12.1";"14.7";"15.0";"13.4"
"Noord-Nederland (LD)";"25.0";"25.1";"17.1";"19.4";"21.6";"22.0";"12.5";"12.5";"9.2";"9.8";"11.0";"11.5";"4.8";"5.3";"3.0";"3.7";"3.8";"3.9";"2.1";"2.0";"0.8";"1.1";"1.6";"1.8";"0.7";"0.6";"0.3";"0.4";"0.6";"0.5";"1.9";"1.8";"1.6";"1.7";"1.9";"1.8";"0.4";"0.5";"0.6";"0.7";"0.7";"0.7";"2.5";"2.3";"1.5";"1.8";"2.0";"1.9"
"Oost-Nederland (LD)";"49.3";"49.8";"35.1";"38.7";"43.1";"45.6";"25.9";"25.5";"18.9";"20.2";"21.8";"23.4";"8.8";"8.4";"5.7";"6.9";"7.7";"8.8";"4.7";"5.4";"2.3";"2.1";"3.9";"4.3";"0.8";"0.8";"0.4";"0.4";"0.7";"0.6";"4.0";"4.0";"3.4";"3.6";"4.1";"3.9";"1.0";"1.0";"1.3";"1.6";"1.5";"1.4";"4.2";"4.7";"3.0";"4.0";"3.5";"3.3"
"West-Nederland (LD)";"98.7";"99.6";"68.4";"76.1";"82.8";"89.4";"47.4";"47.0";"33.8";"36.5";"39.3";"42.2";"17.0";"17.3";"11.8";"14.1";"14.6";"16.1";"11.7";"12.3";"4.8";"5.4";"7.5";"10.1";"4.2";"4.3";"1.9";"2.3";"3.2";"3.4";"8.9";"8.4";"7.5";"7.7";"8.7";"8.5";"2.6";"2.6";"3.2";"4.0";"3.6";"3.4";"6.8";"7.6";"5.3";"6.1";"6.1";"5.7"
"Zuid-Nederland (LD)";"45.1";"44.4";"31.6";"34.1";"39.4";"42.3";"23.0";"23.5";"17.4";"19.1";"20.8";"22.5";"8.1";"8.0";"5.3";"5.4";"6.7";"7.8";"4.2";"4.3";"1.7";"1.6";"2.8";"4.0";"0.8";"0.7";"0.4";"0.3";"0.7";"0.6";"3.7";"3.5";"3.0";"3.0";"3.7";"3.5";"1.1";"1.1";"1.5";"1.8";"1.5";"1.5";"4.1";"3.4";"2.3";"2.8";"3.3";"2.5"
"Groningen (PV)";"7.8";"8.1";"5.5";"6.3";"7.0";"6.7";"3.4";"3.8";"2.8";"3.1";"3.4";"3.0";"1.6";"1.6";"0.9";"1.2";"1.3";"1.2";"0.9";"1.1";".";"0.6";"0.7";"0.9";"0.2";"0.2";".";".";"0.2";"0.2";"0.7";"0.7";"0.6";"0.5";"0.7";"0.7";"0.1";"0.2";"0.2";"0.3";"0.2";"0.2";"0.8";"0.5";"0.4";"0.5";"0.6";"."
"Fryslân (PV)";"9.6";"10.0";"6.8";"7.5";"8.5";"8.5";"4.9";"5.2";"4.0";"4.0";"4.5";"4.7";"1.9";"2.3";"1.0";"1.5";"1.5";"1.5";"0.6";".";".";".";".";".";"0.3";"0.2";".";".";".";".";"0.7";"0.6";"0.6";"0.7";"0.7";"0.6";"0.2";"0.2";"0.2";"0.3";"0.3";"0.2";"1.1";"1.0";"0.7";"0.6";"0.8";"0.8"
"Drenthe (PV)";"7.5";"7.0";"4.9";"5.6";"6.1";"6.8";"4.2";"3.6";"2.5";"2.7";"3.1";"3.7";"1.4";"1.4";"1.0";"1.1";"1.0";"1.2";".";".";".";".";".";".";"0.1";".";".";".";".";".";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.1";"0.2";"0.2";"0.2";"0.2";"0.2";"0.6";"0.7";".";"0.7";".";"0.7"
"Overijssel (PV)";"15.5";"15.7";"10.5";"11.7";"13.3";"14.1";"8.0";"7.5";"5.6";"6.3";"6.6";"7.1";"2.8";"2.9";"1.6";"2.0";"2.2";"2.8";"1.3";"2.0";"0.7";"0.4";"1.2";"1.3";"0.1";".";".";".";"0.1";".";"1.3";"1.4";"1.2";"1.3";"1.4";"1.4";"0.3";"0.3";"0.4";"0.5";"0.5";"0.4";"1.6";"1.6";"0.9";"1.1";"1.3";"1.1"
"Flevoland (PV)";"6.1";"6.1";"4.4";"4.9";"5.4";"5.6";"3.2";"3.0";"2.5";"2.5";"2.8";"3.2";"1.0";"1.1";"0.8";"1.1";"1.2";"1.0";"0.7";"0.8";".";"0.3";"0.4";"0.4";"0.2";"0.2";"0.1";"0.1";".";"0.1";"0.3";"0.3";"0.3";"0.3";"0.3";"0.3";"0.1";"0.1";"0.1";"0.2";"0.2";"0.2";"0.5";".";".";"0.5";".";"0.4"
"Gelderland (PV)";"27.8";"28.0";"20.1";"22.1";"24.4";"26.0";"14.6";"15.0";"10.8";"11.3";"12.4";"13.2";"5.0";"4.3";"3.3";"3.8";"4.3";"5.0";"2.7";"2.6";"1.3";"1.4";"2.3";"2.6";"0.4";"0.4";"0.2";"0.2";"0.4";"0.4";"2.4";"2.3";"2.0";"2.1";"2.4";"2.2";"0.6";"0.6";"0.8";"1.0";"0.8";"0.8";"2.1";"2.6";"1.7";"2.4";"1.8";"1.8"
"Utrecht (PV)";"16.8";"18.8";"12.6";"13.6";"15.2";"16.6";"8.3";"9.2";"6.4";"6.6";"7.3";"7.9";"3.0";"3.6";"2.1";"2.6";"2.8";"3.1";"2.1";"2.6";"1.1";"1.1";"1.6";"2.3";"0.4";"0.4";"0.2";"0.3";"0.4";"0.4";"1.6";"1.6";"1.3";"1.4";"1.6";"1.6";"0.4";"0.4";"0.5";"0.6";"0.6";"0.5";"0.9";"1.1";"1.0";"1.0";"1.0";"0.8"
"Noord-Holland (PV)";"35.3";"33.1";"22.6";"25.4";"28.3";"29.7";"16.1";"14.9";"10.5";"12.0";"13.0";"13.7";"6.0";"5.2";"3.9";"4.7";"5.0";"5.2";"4.9";"4.7";"2.0";"2.1";"2.7";"3.4";"1.7";"1.6";"0.7";"0.8";"1.1";"1.2";"3.3";"3.0";"2.7";"2.8";"3.1";"3.1";"0.9";"0.9";"1.1";"1.4";"1.3";"1.2";"2.4";"2.7";"1.7";"1.6";"2.1";"2.0"
"Zuid-Holland (PV)";"42.2";"42.7";"29.3";"32.8";"35.0";"38.5";"20.5";"20.2";"15.1";"15.5";"16.7";"18.0";"7.2";"7.5";"5.2";"6.2";"6.1";"7.0";"4.6";"4.8";"1.6";"2.2";"3.0";"4.3";"2.0";"2.2";"0.9";"1.1";"1.6";"1.8";"3.6";"3.4";"3.1";"3.1";"3.5";"3.4";"1.2";"1.2";"1.4";"1.8";"1.5";"1.6";"3.1";"3.4";"2.1";"2.9";"2.5";"2.6"
"Zeeland (PV)";"4.4";"5.0";"3.8";"4.4";"4.4";"4.6";"2.4";"2.7";"1.8";"2.4";"2.2";"2.7";"0.7";"1.1";"0.7";"0.7";"0.7";"0.8";".";".";".";".";".";".";".";".";".";".";".";".";"0.4";"0.4";"0.4";"0.4";"0.5";"0.4";"0.1";"0.1";"0.1";"0.2";"0.2";"0.1";"0.4";"0.3";".";"0.6";"0.5";"0.3"
"Noord-Brabant (PV)";"32.2";"32.0";"22.2";"24.2";"28.2";"30.9";"16.7";"17.3";"12.2";"13.7";"14.8";"16.5";"5.5";"5.5";"3.7";"3.8";"4.7";"5.8";"2.8";"3.0";"1.1";"1.0";"1.6";"2.8";"0.6";"0.6";"0.3";"0.2";"0.5";"0.5";"2.7";"2.6";"2.3";"2.2";"2.8";"2.7";"0.7";"0.7";"1.0";"1.2";"1.0";"1.0";"3.1";"2.3";"1.6";"2.0";"2.7";"1.8"
"Limburg (PV)";"12.9";"12.4";"9.4";"9.9";"11.2";"11.3";"6.3";"6.2";"5.2";"5.3";"5.9";"6.0";"2.6";"2.5";"1.6";"1.6";"2.0";"2.0";"1.4";"1.2";"0.6";"0.6";"1.2";"1.2";"0.2";"0.1";".";"0.1";"0.1";"0.1";"1.0";"0.9";"0.7";"0.9";"0.9";"0.9";"0.4";"0.4";"0.5";"0.6";"0.5";"0.5";"1.0";"1.1";"0.7";"0.8";"0.6";"0.7"
"Extremely urbanised";"46.8";"46.2";"31.4";"36.3";"40.9";"43.9";"19.1";"18.5";"13.8";"15.2";"17.1";"17.6";"7.4";"6.8";"5.4";"6.5";"7.1";"7.4";"8.8";"9.4";"3.5";"4.5";"5.8";"7.6";"2.6";"2.5";"1.2";"1.4";"1.9";"2.2";"4.6";"4.5";"3.9";"4.0";"4.7";"4.8";"1.5";"1.5";"1.8";"2.4";"2.1";"2.0";"2.7";"2.9";"1.8";"2.3";"2.2";"2.3"
"Strongly urbanised";"66.1";"66.6";"46.1";"50.8";"56.3";"59.8";"33.9";"33.0";"24.3";"26.0";"27.7";"29.3";"11.5";"12.1";"7.7";"9.6";"9.7";"11.3";"7.0";"8.0";"3.4";"3.1";"5.3";"7.0";"1.7";"1.8";"0.8";"0.9";"1.3";"1.2";"5.6";"5.3";"4.4";"4.6";"5.2";"5.1";"1.6";"1.6";"2.1";"2.4";"2.2";"2.1";"4.6";"4.9";"3.5";"4.2";"4.9";"3.9"
"Moderately urbanised";"34.7";"35.6";"24.6";"25.6";"30.9";"33.7";"17.8";"18.6";"13.2";"13.7";"15.9";"17.8";"6.2";"6.6";"4.5";"4.9";"5.5";"6.6";"3.2";"2.9";"1.1";"1.0";"1.9";"2.4";"0.7";"0.7";"0.4";"0.2";"0.6";"0.6";"2.9";"2.9";"2.5";"2.5";"3.1";"3.0";"0.8";"0.8";"1.0";"1.1";"1.1";"1.1";"2.9";"3.1";"2.0";"2.2";"2.8";"2.3"
"Hardly urbanised";"51.9";"50.6";"35.7";"40.7";"44.3";"45.6";"27.7";"27.2";"19.9";"22.0";"24.0";"25.8";"10.1";"9.8";"5.9";"6.9";"8.1";"8.2";"2.8";"2.8";"1.2";"1.3";"2.1";"2.5";"1.0";"1.0";"0.4";"0.8";"0.9";"0.7";"3.9";"3.8";"3.6";"3.6";"4.1";"3.8";"1.0";"1.0";"1.3";"1.7";"1.4";"1.3";"5.3";"5.0";"3.4";"4.5";"3.8";"3.3"
"Not urbanised";"18.7";"20.0";"14.2";"14.9";"14.6";"16.2";"10.2";"11.2";"8.1";"8.7";"8.2";"9.1";"3.4";"3.7";"2.3";"2.3";"2.3";"3.0";"0.9";"1.0";".";".";"0.7";"0.6";"0.4";"0.4";"0.2";"0.2";"0.4";"0.3";"1.4";"1.3";"1.2";"1.3";"1.3";"1.2";"0.3";"0.3";"0.5";"0.6";"0.4";"0.4";"2.0";"2.1";"1.5";"1.4";"1.3";"1.6"
"Source: CBS"
