Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,1.0,4.7,4.2,4.4,3.4,2.2,3.7,2.6,1.6,5.1,4.9,1.7
2,2.6,2.2,2.3,4.7,3.6,1.7,3.9,2.5,4.3,4.9,2.4,4.8
3,3.0,1.6,1.7,4.5,3.5,4.1,3.6,2.0,4.6,5.1,1.7,5.0
4,3.0,4.7,4.4,4.7,2.1,4.2,3.9,1.4,4.5,5.1,4.7,4.8
5,1.9,4.8,4.4,4.6,1.8,4.2,3.6,2.3,4.8,2.4,4.8,4.9
6,1.4,4.8,4.3,2.3,4.3,4.4,2.1,2.5,4.5,1.7,4.5,5.0
7,4.3,5.0,4.9,1.9,4.5,4.2,1.6,2.4,2.2,4.8,5.0,2.3
8,4.8,4.7,4.5,4.4,4.4,2.1,3.4,2.6,1.7,5.0,4.7,1.7
9,4.5,2.3,2.3,4.6,4.5,1.6,3.7,2.4,4.6,4.9,2.4,4.9
10,4.8,1.6,1.7,4.4,4.3,1.6,3.6,1.9,4.7,5.2,1.8,5.1
11,4.5,4.7,4.8,4.7,2.2,4.4,3.7,1.5,4.7,5.0,4.8,4.8
12,2.1,5.0,5.0,4.4,1.7,4.2,3.3,2.4,4.8,2.4,5.1,5.2
13,1.5,5.1,4.8,2.3,4.3,4.5,2.1,2.7,4.6,1.8,4.9,4.9
14,4.5,5.0,5.2,1.6,4.5,4.2,1.6,2.6,2.3,4.4,5.0,2.4
15,4.7,4.6,4.8,4.4,4.3,2.2,3.1,2.7,1.7,4.6,4.8,1.8
16,4.5,2.2,2.2,4.6,4.6,1.7,3.1,2.6,4.7,4.5,2.3,4.8
17,4.9,1.6,1.6,4.4,4.3,4.0,2.9,1.8,4.8,4.8,1.7,5.0
18,5.7,4.1,3.9,4.7,2.1,4.2,3.0,1.4,4.6,4.5,4.9,4.8
19,2.5,4.3,4.7,3.2,1.6,4.1,2.8,2.7,4.8,2.4,5.1,5.0
20,1.5,4.2,4.7,2.2,4.3,4.4,1.8,3.0,4.7,1.7,4.9,4.6
21,4.5,4.4,4.8,1.5,4.5,4.1,1.5,2.9,2.3,3.9,5.1,2.5
22,4.7,4.2,4.6,1.6,4.3,2.2,2.6,3.1,1.7,4.0,4.9,1.9
23,4.8,2.3,2.3,4.1,4.5,1.7,2.7,3.0,4.6,3.9,2.5,3.1
24,5.0,1.7,1.7,4.0,4.3,3.9,2.5,2.1,4.9,4.1,1.8,2.8
25,4.8,4.1,4.7,4.3,2.3,4.0,2.4,1.6,4.8,4.0,4.8,1.2
26,2.3,4.3,4.7,4.1,1.7,3.8,2.3,3.2,5.1,2.4,5.1,1.5
27,1.6,4.2,4.5,2.6,4.3,4.2,1.9,3.5,4.9,1.8,5.0,2.6
28,5.0,4.3,4.8,1.6,0.1,3.9,1.4,3.4,2.4,4.6,5.5,2.1
29,4.7,,4.6,3.3,4.5,2.1,2.4,3.7,1.7,4.8,5.2,1.6
30,4.5,,2.3,3.5,1.9,1.6,2.6,3.5,4.8,4.7,2.4,2.7
31,4.9,,1.7,,3.0,,2.5,2.1,,5.1,,2.1