"Uur";"Series 1"
0;15,11072796934866
1;1,888505747126437
2;0,8850574712643678
3;1,060153256704981
4;2,383141762452107
5;20,64214559386973
6;120,5804597701149
7;369,1544061302682
8;426,1367816091954
9;245,2137931034483
10;189,6965517241379
11;197,6536398467433
12;242,7176245210728
13;240,5475095785441
14;271,5007662835249
15;322,8739463601532
16;375,764367816092
17;404,8735632183908
18;241,8593869731801
19;135,1348659003831
20;99,92298850574713
21;91,40421455938697
22;78,6455938697318
23;55,58429118773947